hip_id,gaia_source_id,angular_distance,number_of_neighbours,xm_flag
765,4990516294443333504,0.006271326,1,8
1067,2769202742740232960,0.04206955,1,8
1562,2429978803998630400,0.0022066657,1,8
1599,4900108950849461248,0.0072755674,1,8
1645,2749182560143316224,0.004334518,1,8
2021,4683897617110115200,0.01777542,1,8
2072,4992538055808271360,0.006950197,1,8
2484,4900927434176620160,0.0059619537,1,8
3179,418551920284673408,0.033755917,1,8
3786,2556759229189045632,0.012335096,1,8
3881,375010813139050368,0.0063656196,1,8
4436,364785939116867072,0.02439805,1,8
4577,5032256161014732416,0.005461083,1,8
4889,314142055583243904,0.0028145052,1,8
4906,2577673177300873216,0.012917986,1,8
5165,4933453324590295040,0.8945721,1,16
5348,4913847589156808960,0.01706704,1,8
5364,2470140321630664064,0.007108494,1,8
5742,294090536905167744,0.06073746,1,72
6193,296483280365523840,0.009764851,1,8
6686,510204838759030144,0.010726951,1,8
6867,4935615308047192576,0.01621632,1,8
7007,2565225915399877760,0.015703123,1,8
7083,4929469381645492864,0.0061245826,1,8
7097,2591891443195067264,0.05275521,1,8
7884,2562091860584132096,0.0064328616,1,8
8102,2452378776434477184,0.0075398358,1,8
8832,93806419367308544,0.008473576,1,8
10602,4936685751336237056,0.0051854113,1,8
10670,326109689896765568,0.014698842,1,8
11001,4693818888483537664,0.009626609,1,8
11345,5147600840643195520,0.008434098,1,8
11407,4939205900704478592,0.0041844156,1,8
11484,22745910577134848,0.98306364,1,16
12387,2498783458525988992,0.014928367,1,8
12394,4695167130257543424,0.004084055,1,8
12484,4741336551221258112,0.0067352974,1,8
12486,4951967794731342464,0.0040426096,1,8
12770,5158225936898617344,0.16247043,1,72
12828,21859669845327488,0.09070793,1,72
12843,5129338021224785408,0.44313526,1,72
13147,5064312731764645760,0.005340217,1,8
13254,143293685388561664,0.0018326025,1,8
13268,454491381981202944,0.008345241,1,8
13701,5173421634271199104,0.011460321,1,8
13847,5044368071870093312,0.008028795,1,8
13954,8900825800310016,0.15640457,1,72
14146,5077970830842019584,0.006850622,1,8
14240,4726572858838693248,0.0024928274,1,8
15197,5166714578981717632,0.023011325,1,72
15474,5099455184968674560,0.03112385,1,8
16228,462250738616785152,0.012775634,1,8
16611,5100353485969674880,0.005556799,1,8
17378,5164120762333028736,0.00885745,1,8
17448,216718178536050176,0.041784216,1,8
17651,5087043657197267200,0.008988338,1,8
17678,4629125170492116224,0.0019129469,1,8
17847,66526127137440128,0.019823568,1,8
17959,495235297172196864,0.0016936179,1,8
18246,168726523212358272,0.026458673,1,8
18505,475117464201957888,0.003695862,1,8
18597,4679700059672168960,0.002505719,1,8
18614,219375904303684224,0.028894346,1,8
18724,3305012316783533056,0.0033433922,1,8
19747,4840356816072211712,0.007336953,1,8
19893,4781833626056162688,0.00981077,1,8
19921,4678664766393829504,0.009543361,1,8
20042,4870527586937201408,0.01145871,1,8
20205,3312052249215275904,0.007341819,1,8
20648,3314063977537054208,0.033199195,1,72
20889,48026706558487040,0.00963506,1,8
21060,4790936620261576704,0.008307309,1,8
21281,4775977077371116672,1.2637532,1,16
21393,4878631812268014464,0.004714882,1,8
21444,3204884534485995264,0.013586681,1,8
21770,4815660547961306112,0.0150297675,1,72
21861,4866371879660471808,0.29816437,1,72
21949,4654833539071572736,0.007356883,1,8
22109,3225773709225508736,0.027156916,1,8
22449,3288921720025503360,0.008015933,1,8
22509,3289827339649866880,0.00831228,1,8
22549,3287731945364911232,0.01124492,1,8
22701,3188462022653817472,0.00602649,1,8
22730,3232279416447924864,0.008984266,1,8
22783,482818271843093376,0.0062399046,1,8
22845,3294429586086462848,0.006096247,1,8
23015,160886283751041408,0.013415926,1,8
23972,3182891931108590336,0.008110879,1,8
24327,2988537651577170176,0.0075744893,1,8
24845,2988329637719192960,0.10697028,1,72
24873,2988831083742776192,0.00086227525,1,8
25110,553480551264062848,0.0036836397,1,8
25606,2968097043227107840,0.6043708,1,16
25930,3220756843825383936,0.0620545,1,16
25985,2971266110612490624,0.0085592605,1,8
26069,4757601523650165120,0.0096161235,1,8
26451,3402918982515591168,0.5115154,1,16
26634,2900546759663847168,0.015446674,1,8
