source_id,common_name
123424475948672,[BHR2005] 352
290653322568704,TIC 258825802
452212812313984,TIC 347552960
535294659636864,UCAC4 461-004188
630505494719360,GJ 123
756571374829440,LHS 1506
769456276704128,LP 592-10
1013169900890624,LP 591-276
1155453577587072,TIC 365249492
1227712107314688,LHS 161
1268321022907264,SDSS J025713.82+015252.1
1268325318000128,HD 18368A
1292480214037760,StKM 1-323
1495713771471104,Gaia DR3 1495713771471104
1534510211124352,LSPM J0251+0243
1608138835023488,LP 591-43
2183668748454272,Gaia DR3 2183668748454272
2349037873636992,LP 592-8
2517233088211712,HIP 14992
2555303678311296,US 3670
2673638617215104,UCAC4 471-004477
2729232673961216,UCAC4 471-004593
2781562554898432,TIC 328431955
3036954195695616,2MASS J03192052+0444013
3081454351848832,LHS 1532
3124060427493120,TIC 274015913
3179036008830848,GJ 1057
3499474928879104,Gaia DR3 3499474928879104
3499474928879232,Gaia DR3 3499474928879232
3557714685414400,LP 532-31
3591765186114816,LP 531-62
3656185400409472,Gaia DR3 3656185400409472
3679313799492864,TIC 328231476
3682023923676800,TYC 58-260-1
3848874813209216,Gaia DR3 3848874813209216
3897223260297728,G 76-52
4061462809542400,LP 532-37
4225083883716480,LP 532-23
4267552520347776,GJ 3205
4288649399671808,LP 532-28
4288649399672832,LP 532-27
4307169298670464,Gaia DR3 4307169298670464
4656161161454464,HIP 13412
4796074015983360,Gaia DR3 4796074015983360
4984189288211840,Gaia DR3 4984189288211840
5018312803634944,Gaia DR3 5018312803634944
5183686224451456,LP 531-26
5352358179676672,LP 531-18
5461038032533632,StKM 1-309
5595762566731008,TIC 368644381
5676885908994304,LP 531-7
5725230060801536,TIC 318754480
5837071009282816,LHS 1445
5850333868501248,HIP 12862
6260619209062272,TIC 318942541
6316591222362496,TIC 318886387
6346041813693696,TIC 328223348
6346041813693824,LTT 10938
6347480627407104,StKM 2-249
6348240836955520,LHS 1460
6397856299125120,LP 531-23
6452209110182016,GJ 3184
6475887265076992,** TOK 651C
6478258086581760,HD 17250B
6478258087046528,HIP 12925
6491722808836864,LTT 10903
6531412602259712,TIC 387421448
6963383233077632,WD 0301+059
6963761190199424,LTT 10998
6989290475763456,LHS 1487
6989977670532096,UCAC4 480-004294
7001556902355840,HIP 14075
7193932782026496,Gaia DR3 7193932782026496
7435554757711616,LP 531-59
7525268034048768,StKM 1-346
8010114007619968,Gaia DR2 8010114007619968
8011385317379968,[R78b] 181
8114090870908672,Gaia DR3 8114090870908672
8193113974019072,TIC 387512802
8367803179074816,LTT 10960
8479094371605632,LTT 10978
8488676446904320,LP 531-42
8578256576520320,LHS 5064
8684153290176000,TIC 365271427
8777268181161216,TIC 387608699
8810116091022208,HIP 13679
8896496473276288,TIC 387609901
8932745997246336,Gaia DR3 8932745997246336
9112584868036608,Gaia DR3 9112584868036608
9124679495764864,TIC 302769205
9142026868316800,UCAC3 192-10870
9178383766474496,LP 532-81 C
9395983989903488,TIC 343796139
9877806305711744,HIP 15875
10147740705836800,** CLZ 20B
10147878144789504,** CLZ 20A
10346511792322176,LP 532-60
10456325516028032,HD 20213
10456325516028160,UCAC3 195-10272
10584899656489600,HD 20430B
10584899657116672,HIP 15304
10608573516849536,HIP 15310
10813357557424768,LP 532-74
10817721244195712,Gaia DR3 10817721244195712
10937945968805632,Gaia DR3 10937945968805632
11023119464589696,Gaia DR3 11023119464589696
11023123760286592,Gaia DR3 11023123760286592
11037726649058432,LTT 11098
11063251639242752,** SKF 482B
11064763467877504,TIC 345393530
11210418694164864,GJ 9114 A
11210487413640832,GJ 9114 B
11279889789590656,HIP 16560
11279894084985344,BD+06 549B
11530342218200448,HIP 16786
11771719380131328,G 79-46
12070649105187840,TIC 416836952
12688815156948736,UCAC4 497-004755
12730974556132096,2 Tauri
12741003307036416,LP 472-62
12785366021729280,LP 472-71
12812853812343168,Gaia DR3 12812853812343168
12828418773816832,Gaia DR3 12828418773816832
12828899809609856,GJ 3226 B
12828899810152704,GJ 3226 A
13000080026782464,LP 473-7
13084261385721856,Gaia DR3 13084261385721856
13291897284706432,Gaia DR3 13291897284706432
13434421479476352,[RSP2011] 65
13533892921879936,CNS5 790
13555539556582272,HIP 15020
13613470075881472,TIC 365369926
13763720916250624,G 79-15
13763823995465472,G 79-16
14143675198789504,HIP 15374
14163878724940672,GJ 9112
14358664081804928,Ross 792
14457169156045440,V* HW Cet
14477548776473088,UCAC4 500-004910
14560046508208640,HIP 15401
14654638867983872,LP 531-52
14826712437808128,TIC 377062269
14862584004642688,LP 471-53
14912165107085184,GJ 1055
15128081702947072,[RSP2011] 38
15141997396965888,G 76-54
15191681578151168,Gaia DR2 15191681578151168
15400210830767488,LP 472-23
15620937790126720,Gaia DR3 15620937790126720
15647768450759296,TIC 407588578
15674882579496576,TIC 365370577
15798165320627712,Gaia DR3 15798165320627712
15897117071508096,G 79-35
15898083439754496,G 79-36
15962198711564032,Gaia DR3 15962198711564032
16036828063265664,StKM 2-286
16302463200535040,GJ 3221
16353968448495616,** SKF 1432A
16353968448495744,** SKF 1432B
16386404041502592,CNS5 886
16426811093797760,** SKF 1431B
16439043160641152,TIC 399966246
16442680997316096,TIC 416673326
16498244989914112,TIC 416673418
16893004023863424,UCAC4 505-005061
16893004023863552,UCAC4 505-005060
16936640891713152,LP 472-37
16983468919490176,TIC 365441196
17083597492589440,LP 472-40
17285873272440192,AG+12 343
17525291928845952,LP 472-46 A
17674619351804672,Gaia DR3 17674619351804672
17705405678085120,TOI-5078
17900495976985728,LP 472-51
17919668711041664,LP 472-65
17998150648830080,UCAC4 521-005869
18161561269840768,G 75-33
18211043587721088,HIP 12545
18248079090430720,LP 530-37
18262823713408000,HIP 12447
18297114731960704,LHS 1419
18476575645855872,G 76-18
18478946467801088,LP 530-39
18493721155296640,PG 0235+064B
18493721155296768,GJ 3173
18510969743939072,TIC 368630460
18528454555539328,LTT 10856
18563918100747008,GJ 3171
18565464288396416,GJ 105 B
18576867426893696,TIC 347005221
18614839233014784,LP 531-4
18973108224425856,2MASS J02401863+0727433
18986817760556416,GJ 3174
19115456325700736,AG+07 296
19231390378295296,LP 530-18
19316224572460416,GJ 105 A
19420918695208960,Gaia DR3 19420918695208960
19432360488043904,LP 530-17
19499701279778432,TIC 377042730
19523203341631104,TIC 381024110
19625187339798144,LP 530-26
19636113736531072,Gaia DR3 19636113736531072
19693180966870656,LP 530-21
19693185261940096,LP 530-22
19697033552145920,2MASS J02320593+0812266
19704111658844800,TIC 347005197
19720226376127488,LP 530-36
19905219207554816,LP 530-46
19971739661002624,LP 530-41
20041180692185856,LP 530-28
20143916309954432,G 76-14
20229094100767744,G 4-31B
20229094101354368,G 4-31A
20284305905758336,Gaia DR3 20284305905758336
20284310200430464,2MASS J02480252+0723489
20284310200914560,Gaia DR2 20284310200914560
20484382662003968,LP 531-14
20625880359945856,LP 531-3
20709271445114880,LHS 6051
20769091749574784,HD 17415
20871689928295680,LP 531-27
20875705725252992,TIC 387543034
20892851231718784,UCAC4 496-004250
20998477362991360,G 76-47
21063108030685696,LP 471-24
21297716324578176,HIP 13750
21615715702818560,Gaia DR3 21615715702818560
21859669845327488,87 Ceti
21983296184043520,TIC 387453118
22125575564953216,LTT 17422
22269508511466624,G 4-40
22338438439701760,** SKF 20C
22338644598132096,HIP 12787
22346856575624192,Gaia DR3 22346856575624192
22561123904108672,LTT 10823
22579953040728320,LHS 5054
22579953040728576,LHS 5053
22707874346819712,LTT 10838
22757455449227008,G 73-59
22848440036440960,TIC 337214966
23755262251323648,LHS 6047
24262652508347520,25 Arietis
24340923991956352,LTT 10817
24490006601163776,PM J02234+1017
24656689987510912,HD 15094
25405350031335296,LTT 10886
25448475798424064,LP 470-49
25488745411919360,GJ 9100
25543239956946304,Gaia DR3 25543239956946304
25549527788399872,TIC 52173882
25792554218535296,38 Arietis
25806087659959040,2MASS J02452468+1240546
26101272172092160,HIP 12155
26147868272907648,HIP 11941
26283932836820096,GJ 3160
26311970382758016,2MASS J02293562+1228114
26367903742260736,LTT 10843
26484834227184896,31 Arietis
26518541130544896,TIC 408837431
26556646080324096,TIC 408824468
26601348100066304,Gaia DR3 26601348100066304
26756791555792640,PM J02353+1301
